,X,Y,Z
0,95.9,137.6,54.0
1,108.94,137.5,54.0
2,121.99,137.4,54.0
3,135.03,137.3,54.0
4,148.07,137.2,54.0
5,161.11,137.1,54.0
6,174.16,137.0,54.0
7,187.2,136.9,54.0
8,187.12,123.9,54.0
9,174.07,124.0,54.0
10,161.03,124.1,54.0
11,147.98,124.2,54.0
12,134.94,124.3,54.0
13,121.89,124.4,54.0
14,108.85,124.5,54.0
15,95.8,124.6,54.0
16,95.7,111.6,54.0
17,108.75,111.5,54.0
18,121.8,111.4,54.0
19,134.85,111.3,54.0
20,147.89,111.2,54.0
21,160.94,111.1,54.0
22,173.99,111.0,54.0
23,187.04,110.9,54.0
24,186.96,97.9,54.0
25,173.91,98.0,54.0
26,160.86,98.1,54.0
27,147.81,98.2,54.0
28,134.75,98.3,54.0
29,121.7,98.4,54.0
30,108.65,98.5,54.0
31,95.6,98.6,54.0
32,95.5,85.6,54.0
33,108.55,85.5,54.0
34,121.61,85.4,54.0
35,134.66,85.3,54.0
36,147.72,85.2,54.0
37,160.77,85.1,54.0
38,173.83,85.0,54.0
39,186.88,84.9,54.0
40,186.8,71.9,54.0
41,173.74,72.0,54.0
42,160.69,72.1,54.0
43,147.63,72.2,54.0
44,134.57,72.3,54.0
45,121.51,72.4,54.0
46,108.46,72.5,54.0
47,95.4,72.6,54.0
