cycle,X,Y,Z
1,196.27,106.27,48.7
2,196.556,93.299,48.7
3,196.841,80.327,48.7
4,197.127,67.356,48.7
5,197.413,54.384,48.7
6,197.699,41.413,48.7
7,197.984,28.441,48.7
8,198.27,15.47,48.7
9,185.15,15.27,48.7
10,184.873,28.236,48.7
11,184.596,41.201,48.7
12,184.319,54.167,48.7
13,184.041,67.133,48.7
14,183.764,80.099,48.7
15,183.487,93.064,48.7
16,183.21,106.03,48.7
17,170.15,105.79,48.7
18,170.419,92.83,48.7
19,170.687,79.87,48.7
20,170.956,66.91,48.7
21,171.224,53.95,48.7
22,171.493,40.99,48.7
23,171.761,28.03,48.7
24,172.03,15.07,48.7
25,158.91,14.87,48.7
26,158.65,27.824,48.7
27,158.39,40.779,48.7
28,158.13,53.733,48.7
29,157.87,66.687,48.7
30,157.61,79.641,48.7
31,157.35,92.596,48.7
32,157.09,105.55,48.7
33,144.03,105.31,48.7
34,144.281,92.361,48.7
35,144.533,79.413,48.7
36,144.784,66.464,48.7
37,145.036,53.516,48.7
38,145.287,40.567,48.7
39,145.539,27.619,48.7
40,145.79,14.67,48.7
41,132.67,14.47,48.7
42,132.427,27.413,48.7
43,132.184,40.356,48.7
44,131.941,53.299,48.7
45,131.699,66.241,48.7
46,131.456,79.184,48.7
47,131.213,92.127,48.7
48,130.97,105.07,48.7
